"Sr. Data Scientist (VOIS)
Sr. Data Scientist (VOIS) with verification",Vodafone,"Giza, Al Jizah, Egypt (Hybrid)",Not Available
"Business Research - Senior Research Analyst - Cairo
Business Research - Senior Research Analyst - Cairo",Infomineo,"Cairo, Cairo, Egypt (Hybrid)",Easy Apply
"Reporting & Advanced Analytics Analyst
Reporting & Advanced Analytics Analyst with verification",Henkel,"Cairo, Cairo, Egypt (Hybrid)",Not Available
"DIGITAL TRANSFORMATION ASSOCIATE
DIGITAL TRANSFORMATION ASSOCIATE",Jobs for Humanity,"Cairo, Cairo, Egypt (On-site)",Not Available
"Knowledge Analyst - Energy Solutions
Knowledge Analyst - Energy Solutions with verification",McKinsey & Company,"Cairo, Cairo, Egypt",Not Available
"Senior Product Analyst
Senior Product Analyst",Whitecollars,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"ETIC, Opportunity & Demand Management Intern
ETIC, Opportunity & Demand Management Intern",PwC,"Cairo, Cairo, Egypt (On-site)",Not Available
"Operations Data Scientist
Operations Data Scientist",RATP Dev Mobility Cairo,"Cairo, Cairo, Egypt (On-site)",Not Available
"Data & Analytics Strategy Executive
Data & Analytics Strategy Executive with verification",dentsu,"Cairo, Cairo, Egypt (On-site)",Not Available
"Contact Profiler - MSFT B2B
Contact Profiler - MSFT B2B",A3malouna.com,"Cairo, Cairo, Egypt (On-site)",Not Available
"ETIC, Data Migration, Associate
ETIC, Data Migration, Associate with verification",PwC Middle East,"Cairo, Cairo, Egypt (On-site)",Not Available
"Executive
Executive with verification",NielsenIQ,"Cairo, Cairo, Egypt",Easy Apply
"Field Data Collector-Bike Rider
Field Data Collector-Bike Rider with verification",dubizzle Egypt,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"Data Scientist
Data Scientist with verification",Siemens,"Qesm 2nd New Cairo, Cairo, Egypt",Not Available
"Digital Transformation Associate
Digital Transformation Associate with verification",Linxon,"Cairo, Egypt (On-site)",Not Available
"R&D Specialist
R&D Specialist",BlackStone eIT,"Cairo, Cairo, Egypt (Remote)",Easy Apply
"Research Analyst
Research Analyst with verification",Knight Frank MENA,"Cairo, Egypt (On-site)",Easy Apply
"SRE - Consumer Market Insights
SRE - Consumer Market Insights",NIQ for Retail,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"ETIC, Senior Data Scientist
ETIC, Senior Data Scientist",PwC Middle East Enterprise Solutions,"Cairo, Cairo, Egypt (On-site)",Not Available
"Principal Data Scientist
Principal Data Scientist with verification","Integrant, Inc.","Cairo, Egypt (Hybrid)",Not Available
"Senior BI/DWH Big Data chapter
Senior BI/DWH Big Data chapter",Advansys,"6th of October, Cairo, Egypt (Hybrid)",Easy Apply
"Data Scientist - Artificial Intelligence
Data Scientist - Artificial Intelligence with verification",IBM,"Giza, Al Jizah, Egypt (Hybrid)",Not Available
"BI & Reporting Senior Analyst
BI & Reporting Senior Analyst with verification",PepsiCo,"New Cairo, Cairo, Egypt (On-site)",Not Available
"Business Research - Research Intern - Cairo - Persons with Disabilities
Business Research - Research Intern - Cairo - Persons with Disabilities",Infomineo,"Cairo, Cairo, Egypt (Hybrid)",Easy Apply
"Senior Data Analyst
Senior Data Analyst with verification",Henkel,"Cairo, Cairo, Egypt (Hybrid)",Not Available
"Expert Data Scientist VOIS
Expert Data Scientist VOIS with verification",Vodafone,"Giza, Al Jizah, Egypt (Hybrid)",Not Available
"סופר עצמאי בעברית
סופר עצמאי בעברית",Outlier,Egypt (Remote),Not Available
"SRE - Consumer Market Insights
SRE - Consumer Market Insights with verification",NielsenIQ,"Cairo, Cairo, Egypt (Hybrid)",Easy Apply
"Senior Data Scientist
Senior Data Scientist",Halan - حالا,"Cairo, Cairo, Egypt (On-site)",Easy Apply
"ETIC, Quality Assurance - Associate
ETIC, Quality Assurance - Associate with verification",PwC Middle East,"Cairo, Cairo, Egypt (On-site)",Not Available
"ETIC, Data Migration, Associate
ETIC, Data Migration, Associate",PwC Middle East Enterprise Solutions,"Cairo, Cairo, Egypt (On-site)",Not Available
"Senior Researcher - FAEI
Senior Researcher - FAEI",The KPI Institute,"Cairo, Cairo, Egypt (Remote)",Not Available
"Mid/Senior - Data Scientist (Pricing)
Mid/Senior - Data Scientist (Pricing)",Yassir,"Alexandria, Alexandria, Egypt (Hybrid)",Not Available
"Consultant Global Analytic Insights
Consultant Global Analytic Insights with verification",Concentrix,"Cairo, Cairo, Egypt (On-site)",Not Available
"ETIC, Data Migration, Associate
ETIC, Data Migration, Associate",PwC,"Cairo, Cairo, Egypt (On-site)",Not Available
"Lead Data Scientist
Lead Data Scientist","Integrant, Inc.","Cairo, Cairo, Egypt (Hybrid)",Not Available
"Vehicle Data Collector(Dongtan)
Vehicle Data Collector(Dongtan)",STRADVISION,"Abes 7-8-10, Alexandria, Egypt (On-site)",Not Available
"Client Consulting Analyst VCA
Client Consulting Analyst VCA with verification",Visa,"Cairo, Cairo, Egypt",Not Available
"Consultant Global Analytic Insights
Consultant Global Analytic Insights",A3malouna.com,"Giza, Al Jizah, Egypt (On-site)",Not Available
"Senior Data Scientist - Valeo Service
Senior Data Scientist - Valeo Service with verification",Valeo,"Cairo, Cairo, Egypt (On-site)",Not Available
"Senior Business Intelligence Consultant
Senior Business Intelligence Consultant with verification",Teradata,"Cairo, Cairo, Egypt (On-site)",Not Available
"Lead Data Science (Bangkok based, Relocation provided)
Lead Data Science (Bangkok based, Relocation provided) with verification",Agoda,"Cairo, Cairo, Egypt (Hybrid)",Not Available
"Lead/ Staff Data Scientist (Bangkok based, relocation provided)
Lead/ Staff Data Scientist (Bangkok based, relocation provided) with verification",Agoda,"Cairo, Cairo, Egypt (Hybrid)",Not Available
"Lead/ Staff Data Scientist (Bangkok based, relocation provided)
Lead/ Staff Data Scientist (Bangkok based, relocation provided) with verification",Agoda,"Giza, Al Jizah, Egypt (Hybrid)",Not Available
"Lead DS (Data Scientist) Bangkok based, Relocation provided
Lead DS (Data Scientist) Bangkok based, Relocation provided with verification",Agoda,"Giza, Al Jizah, Egypt",Not Available
